Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
ACR,ACR799,Tradewater International Honduras 1.0,Ozone Depleting Substances,Undefined Location,"[3, 6, 8, 9, 12, 13, 14, 15]",09/27/2022,61861,36542,""","
ACR,ACR350,Tradewater ODS 1,Ozone Depleting Substances,United States,"[9, 12, 13]",08/10/2016,116741,0,""","
ACR,ACR401,Tradewater ODS 10,Ozone Depleting Substances,United States,"[9, 12, 13]",12/31/2017,137262,0,""","
ACR,ACR404,Tradewater ODS 11,Ozone Depleting Substances,United States,"[9, 12, 13]",02/21/2018,118326,0,""","
ACR,ACR419,Tradewater ODS 12,Ozone Depleting Substances,United States,"[9, 12, 13]",04/30/2018,132126,0,""","
ACR,ACR426,Tradewater ODS 13,Ozone Depleting Substances,United States,"[9, 12, 13]",07/13/2018,140145,0,""","
ACR,ACR429,Tradewater ODS 14,Ozone Depleting Substances,United States,"[9, 12, 13]",09/04/2018,141087,0,""","
ACR,ACR431,Tradewater ODS 15,Ozone Depleting Substances,United States,"[9, 12, 13]",10/04/2018,52322,0,""","
ACR,ACR433,Tradewater ODS 16,Ozone Depleting Substances,United States,"[9, 12, 13]",10/16/2018,148592,0,""","
ACR,ACR435,Tradewater ODS 17,Ozone Depleting Substances,United States,"[9, 12, 13]",11/03/2018,105029,0,""","
ACR,ACR436,Tradewater ODS 18,Ozone Depleting Substances,United States,"[9, 12, 13]",11/22/2018,96146,0,""","
ACR,ACR461,Tradewater ODS 19,Ozone Depleting Substances,United States,"[9, 12, 13]",01/28/2019,85284,0,""","
ACR,ACR468,Tradewater ODS 20,Ozone Depleting Substances,United States,"[9, 12, 13]",02/25/2019,83032,0,""","
ACR,ACR471,Tradewater ODS 21,Ozone Depleting Substances,United States,"[9, 12, 13]",03/17/2019,35887,0,""","
ACR,ACR472,Tradewater ODS 22,Ozone Depleting Substances,United States,"[9, 12, 13]",04/01/2019,83594,0,""","
ACR,ACR482,Tradewater ODS 23,Ozone Depleting Substances,United States,"[9, 12, 13]",05/09/2019,101230,0,""","
ACR,ACR488,Tradewater ODS 24,Ozone Depleting Substances,United States,"[9, 12, 13]",06/03/2019,83226,0,""","
ACR,ACR492,Tradewater ODS 25,Ozone Depleting Substances,United States,"[9, 12, 13]",07/01/2019,84831,0,""","
ACR,ACR495,Tradewater ODS 26,Ozone Depleting Substances,United States,"[9, 12, 13]",07/27/2019,84842,0,""","
ACR,ACR500,Tradewater ODS 27,Ozone Depleting Substances,United States,"[9, 12, 13]",08/26/2019,106355,0,""","
ACR,ACR517,Tradewater ODS 28,Ozone Depleting Substances,United States,"[9, 12, 13]",10/21/2019,129697,0,""","
ACR,ACR520,Tradewater ODS 29,Ozone Depleting Substances,United States,"[9, 12, 13]",11/24/2019,79438,0,""","
ACR,ACR359,Tradewater ODS 3,Ozone Depleting Substances,United States,"[9, 12, 13]",11/15/2016,97813,0,""","
ACR,ACR532,Tradewater ODS 30,Ozone Depleting Substances,United States,"[9, 12, 13]",12/17/2019,108679,0,""","
ACR,ACR536,Tradewater ODS 31,Ozone Depleting Substances,United States,"[9, 12, 13]",02/28/2020,89898,0,""","
ACR,ACR543,Tradewater ODS 32,Ozone Depleting Substances,United States,"[9, 12, 13]",04/03/2020,71885,0,""","
ACR,ACR547,Tradewater ODS 33,Ozone Depleting Substances,United States,"[9, 12, 13]",05/04/2020,56697,0,""","
ACR,ACR561,Tradewater ODS 34,Ozone Depleting Substances,United States,"[9, 12, 13]",08/01/2020,101273,0,""","
ACR,ACR577,Tradewater ODS 35,Ozone Depleting Substances,United States,"[9, 12, 13]",08/30/2020,80326,0,""","
ACR,ACR615,Tradewater ODS 35a,Ozone Depleting Substances,United States,"[9, 12, 13]",08/29/2020,0,0,""","
ACR,ACR589,Tradewater ODS 36,Ozone Depleting Substances,United States,"[9, 12, 13]",10/20/2020,133145,0,""","
ACR,ACR608,Tradewater ODS 37,Ozone Depleting Substances,United States,"[9, 12, 13]",01/07/2021,100810,0,""","
ACR,ACR625,Tradewater ODS 38,Ozone Depleting Substances,United States,"[9, 12, 13]",03/14/2021,136658,0,""","
ACR,ACR627,Tradewater ODS 39,Ozone Depleting Substances,United States,"[9, 12, 13]",08/29/2020,4520,0,""","
ACR,ACR363,Tradewater ODS 4,Ozone Depleting Substances,United States,"[9, 12, 13]",01/23/2017,91819,0,""","
ACR,ACR636,Tradewater ODS 40,Ozone Depleting Substances,United States,"[9, 12, 13]",05/19/2021,93755,0,""","
ACR,ACR645,Tradewater ODS 41,Ozone Depleting Substances,United States,"[9, 12, 13]",06/29/2021,72142,0,""","
ACR,ACR666,Tradewater ODS 42,Ozone Depleting Substances,United States,"[9, 12, 13]",09/11/2021,93937,0,""","
ACR,ACR671,Tradewater ODS 43,Ozone Depleting Substances,United States,"[9, 12, 13]",10/19/2021,73042,0,""","
ACR,ACR686,Tradewater ODS 44,Ozone Depleting Substances,United States,"[9, 12, 13]",12/25/2021,89712,0,""","
ACR,ACR744,Tradewater ODS 45,Ozone Depleting Substances,United States,"[9, 12, 13]",03/18/2022,75576,0,""","
ACR,ACR762,Tradewater ODS 46,Ozone Depleting Substances,United States,"[9, 12, 13]",06/05/2022,114791,0,""","
ACR,ACR780,Tradewater ODS 47,Ozone Depleting Substances,United States,"[9, 12, 13]",09/07/2022,129471,0,""","
ACR,ACR826,Tradewater ODS 48,Ozone Depleting Substances,United States,"[9, 12, 13]",11/29/2022,132823,0,""","
ACR,ACR872,Tradewater ODS 49,Ozone Depleting Substances,United States,"[9, 12, 13]",04/16/2023,86994,0,""","
ACR,ACR370,Tradewater ODS 5,Ozone Depleting Substances,United States,"[9, 12, 13]",02/28/2017,121455,0,""","
ACR,ACR884,Tradewater ODS 50,Ozone Depleting Substances,United States,"[9, 12, 13]",06/13/2023,42364,0,""","
ACR,ACR892,Tradewater ODS 51,Ozone Depleting Substances,United States,"[9, 12, 13]",08/07/2023,139956,0,""","
ACR,ACR918,Tradewater ODS 52,Ozone Depleting Substances,United States,"[9, 12, 13]",09/28/2023,61130,0,""","
ACR,ACR939,Tradewater ODS 53,Ozone Depleting Substances,United States,"[9, 12, 13]",01/09/2024,0,0,""","
ACR,ACR1022,Tradewater ODS 53B,Ozone Depleting Substances,United States,"[9, 12, 13]",01/09/2024,78611,0,""","
ACR,ACR1013,Tradewater ODS 54,Ozone Depleting Substances,United States,"[9, 12, 13]",03/27/2024,92445,0,""","
ACR,ACR1040,Tradewater ODS 55,Ozone Depleting Substances,United States,"[9, 12, 13]",07/02/2024,130298,0,""","
ACR,ACR1067,Tradewater ODS 56,Ozone Depleting Substances,United States,"[9, 12, 13]",08/29/2024,0,0,""","
ACR,ACR1090,Tradewater ODS 57,Ozone Depleting Substances,United States,"[9, 12, 13]",10/23/2024,0,0,""","
ACR,ACR379,Tradewater ODS 6,Ozone Depleting Substances,United States,"[9, 12, 13]",05/16/2017,120918,0,""","
ACR,ACR383,Tradewater ODS 7,Ozone Depleting Substances,United States,"[9, 12, 13]",08/26/2017,138972,0,""","
ACR,ACR385,Tradewater ODS 8,Ozone Depleting Substances,United States,"[9, 12, 13]",09/16/2017,138331,0,""","
ACR,ACR387,Tradewater ODS 9,Ozone Depleting Substances,United States,"[9, 12, 13]",11/02/2017,129854,0,""","
ACR,ACR354,Tradewater ODS2,Ozone Depleting Substances,United States,"[9, 12, 13]",09/15/2016,103357,0,""","
ACR,ACR894,Tradewater OOG 1,Industrial Process Emissions,United States,"[9, 12, 13]",07/14/2023,0,0,""","
ACR,ACR915,Tradewater OOG 2,Industrial Process Emissions,United States,"[3, 9, 12, 13]",01/22/2024,813632,8065,""","
ACR,ACR1043,Tradewater OOG 3,Industrial Process Emissions,United States,"[9, 12, 13]",06/17/2024,0,0,""","
ACR,ACR736,Tradewater US - ODS - #1,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",02/05/2022,31818,15415,""","
ACR,ACR758,Tradewater US - ODS - #2,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",05/23/2022,24294,24294,""","
ACR,ACR875,Tradewater US - ODS - #3,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",04/19/2023,67967,35472,""","
ACR,ACR936,Tradewater US - ODS - #4,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",12/04/2023,27780,14139,""","
ACR,ACR1041,Tradewater US - ODS - #5	,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",06/18/2024,30485,0,""","
ACR,ACR889,Tradewater US - ODS - #6,Ozone Depleting Substances,Undefined Location,"[3, 9, 12, 13, 14, 15]",07/11/2023,0,0,""","
ACR,ACR223,Transformer Oil Reclamation Project,Industrial Process Emissions,United States,"[3, 9, 12, 13]",07/22/2008,378561,339951,"www.hydrodec.com"","
ACR,ACR130,"Truck Stop Electrification, Alabama",Transport / Fleet Efficiency,United States,[],01/01/2003,8356,8356,""","
ACR,ACR131,"Truck Stop Electrification, Arizona",Transport / Fleet Efficiency,United States,[],01/01/2003,11104,10391,""","
ACR,ACR132,"Truck Stop Electrification, Arkansas",Transport / Fleet Efficiency,United States,[],01/01/2003,28069,28069,""","
ACR,ACR188,"Truck Stop Electrification, BEF",Transport / Fleet Efficiency,United States,"[3, 9, 11, 13]",03/09/2010,43549,43549,""","
ACR,ACR133,"Truck Stop Electrification, California",Transport / Fleet Efficiency,United States,[],01/01/2003,21943,13690,""","
ACR,ACR134,"Truck Stop Electrification, Colorado",Transport / Fleet Efficiency,United States,[],01/01/2003,3671,1871,""","
ACR,ACR135,"Truck Stop Electrification, Florida",Transport / Fleet Efficiency,United States,[],01/01/2003,7348,7348,""","
ACR,ACR136,"Truck Stop Electrification, Georgia",Transport / Fleet Efficiency,United States,[],01/01/2003,22220,21277,""","
ACR,ACR137,"Truck Stop Electrification, Illinois",Transport / Fleet Efficiency,United States,[],01/01/2003,20531,17139,""","
ACR,ACR138,"Truck Stop Electrification, Indiana",Transport / Fleet Efficiency,United States,[],01/01/2003,12150,12150,""","
ACR,ACR139,"Truck Stop Electrification, Kentucky",Transport / Fleet Efficiency,United States,[],01/01/2003,4075,4075,""","
ACR,ACR140,"Truck Stop Electrification, Louisianna",Transport / Fleet Efficiency,United States,[],01/01/2003,11603,9603,""","
ACR,ACR141,"Truck Stop Electrification, Maryland",Transport / Fleet Efficiency,United States,[],01/01/2003,12112,12112,""","
ACR,ACR142,"Truck Stop Electrification, Michigan",Transport / Fleet Efficiency,United States,[],01/01/2003,4084,3952,""","
ACR,ACR143,"Truck Stop Electrification, Minnesota",Transport / Fleet Efficiency,United States,[],01/01/2003,1785,1185,""","
ACR,ACR144,"Truck Stop Electrification, Mississippi",Transport / Fleet Efficiency,United States,[],01/01/2003,4185,3585,""","
ACR,ACR145,"Truck Stop Electrification, Missouri",Transport / Fleet Efficiency,United States,[],01/01/2003,5375,5359,""","
ACR,ACR146,"Truck Stop Electrification, Nebraska",Transport / Fleet Efficiency,United States,[],01/01/2003,3124,3124,""","
ACR,ACR147,"Truck Stop Electrification, New Jersey",Transport / Fleet Efficiency,United States,[],01/01/2003,7207,6689,""","
ACR,ACR148,"Truck Stop Electrification, New Mexico",Transport / Fleet Efficiency,United States,[],01/01/2003,9483,9483,""","
ACR,ACR264,"Truck Stop Electrification, New York",Transport / Fleet Efficiency,United States,"[3, 9, 11, 13]",01/01/2003,240,240,"www.idleair.com"","
ACR,ACR149,"Truck Stop Electrification, North Carolina",Transport / Fleet Efficiency,United States,[],01/01/2003,8488,8488,""","
ACR,ACR150,"Truck Stop Electrification, North Dakota",Transport / Fleet Efficiency,United States,[],01/01/2003,1351,829,""","
ACR,ACR151,"Truck Stop Electrification, Ohio",Transport / Fleet Efficiency,United States,[],01/01/2003,28663,24356,""","
ACR,ACR152,"Truck Stop Electrification, Oklahoma",Transport / Fleet Efficiency,United States,[],01/01/2003,8165,8165,""","
ACR,ACR153,"Truck Stop Electrification, Oregon",Transport / Fleet Efficiency,United States,[],01/01/2003,5583,4813,""","
ACR,ACR154,"Truck Stop Electrification, Pennsylvania",Transport / Fleet Efficiency,United States,[],01/01/2003,24818,22418,""","
ACR,ACR155,"Truck Stop Electrification, South Carolina",Transport / Fleet Efficiency,United States,[],01/01/2003,5329,5329,""","
ACR,ACR156,"Truck Stop Electrification, Tennessee",Transport / Fleet Efficiency,United States,[],01/01/2003,19418,17773,""","
ACR,ACR157,"Truck Stop Electrification, Texas",Transport / Fleet Efficiency,United States,[],01/01/2003,85912,82155,""","
ACR,ACR158,"Truck Stop Electrification, Utah",Transport / Fleet Efficiency,United States,[],01/01/2003,3499,3499,""","
ACR,ACR263,"Truck Stop Electrification, Washington",Transport / Fleet Efficiency,United States,"[3, 9, 11, 13]",01/01/2003,1657,1657,"www.idleair.com"","
ACR,ACR159,"Truck Stop Electrification, West Virginia",Transport / Fleet Efficiency,United States,[],01/01/2003,2551,1735,""","
ACR,ACR606,True Manufacturing FBA Project 002,Industrial Process Emissions,United States,"[3, 6, 9, 12, 13]",01/01/2019,291297,118061,""","
ACR,ACR652,True Manufacturing FBA Project 002A,Industrial Process Emissions,United States,"[3, 6, 9, 12, 13]",01/01/2020,282972,0,""","
ACR,ACR817,True Manufacturing FBA Project 002B,Industrial Process Emissions,United States,"[3, 6, 9, 12, 13]",01/01/2021,169066,0,""","
