Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
MRK,MRK103000000000754,Forest Carbon Group Scheme 1 (Balcorach),No thinning or clearfell,Scotland,[],,66323,232,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000000754
MRK,MRK103000000004422,Winterhope,No thinning or clearfell,Scotland,[],,72834,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004422
MRK,MRK103000000005290,Weekley Hall,Continuous cover system,England,[],,6391,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000005290
MRK,MRK103000000004388,Minsca,No thinning or clearfell,Scotland,[],,2276,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004388
MRK,MRK103000000004407,Moorside Wood,No thinning or clearfell,England,[],,24370,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004407
MRK,MRK103000000006547,Forest Carbon Group Scheme 4 (Nether Kidston),No thinning or clearfell,Scotland,[],,149644,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000006547
MRK,MRK103000000004403,Overkirkhope,No thinning or clearfell,Scotland,[],,88054,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004403
MRK,MRK103000000004423,Reathwaite,Thin only,England,[],,19760,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004423
MRK,MRK104000000027483,Carr Seasg,No thinning or clearfell,Scotland,[],,5246,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027483
MRK,MRK104000000027901,Innerhadden 2,No thinning or clearfell,Scotland,[],,24838,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027901
MRK,MRK103000000000748,Buccleuch Estates (G0001) (Crairieknowe),Clearfell only,Scotland,[],,82508,274,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000000748
MRK,MRK103000000004386,Iscoed,Continuous cover system,Wales,[],,3153,3,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004386
MRK,MRK103000000004408,Topps Wood,Thin only,Scotland,[],,6633,5,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004408
MRK,MRK103000000017181,Forest Carbon Group Scheme 10 (Lowther 3),No thinning or clearfell,Scotland,[],,111656,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017181
MRK,MRK103000000004384,Glenmuck,No thinning or clearfell,Scotland,[],,25204,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004384
