Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR655,Alder Stream Preserve,Improved Forest Management,United States,"[6, 13, 15, 9]",3/2/2015,758,0,http://www.forestcarbonpartners.com
CAR,CAR607,Aurora Ridge,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/4/2015,11375,0,
CAR,CAR814,Bartow Landfill,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/29/2014,10456,10456,http://www.montaukenergy.com
CAR,CAR824,Billings Regional Landfill,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",12/23/2014,62436,7654,
CAR,CAR773,Clayton County Landfill Gas Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/20/2014,24839,24839,
CAR,CAR1023,Coolgas ODS 2013 Project #1,Ozone Depleting Substances - U.S.,United States,"[9, 12, 13, 3]",6/4/2014,108627,0,http://www.coolgas.com
CAR,CAR393,Cottonwood Dairy Livestock Gas Capture Project,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/24/2015,16645,2047,
CAR,CAR1003,DPC Domestic ODS Destruction Project #13,Ozone Depleting Substances - U.S.,United States,"[9, 12, 13, 3]",8/14/2013,53490,0,http://www.divpc.com
CAR,CAR1012,DPC Domestic ODS Destruction Project #14,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",1/28/2014,23276,0,http://www.divpc.com
CAR,CAR1016,DPC Domestic ODS Destruction Project #15,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",1/30/2014,46275,0,http://www.divpc.com
CAR,CAR1025,DPC Domestic ODS Destruction Project #16,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",3/28/2014,24874,0,http://www.divpc.com
CAR,CAR1029,ECC ODS Destruction 11-2013,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",12/5/2014,113438,0,http://www.envcc.com
CAR,CAR992,EOS ARB ODS 2013-1,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",9/18/2013,107542,0,http://www.eosclimate.com
